Price 10^3 TMT,Brands,Models,Year,Place,Pubtime
340.0,Toyota,Camry,2023,Ашхабад,1753452625.948607
1900.0,BMW,X6,2024,Ашхабад,1753333825.948607
290.0,Kia,Sorento,2021,Ашхабад,1753247425.948607
120.0,BMW,530,2002,Туркменбаши,1753449025.948607
490.0,Toyota,Land,2003,Ашхабад,1753420225.948607
138.0,Volvo,XC60,2009,Ашхабад,1753038000.0
400.0,Toyota,Land,2001,Балканабат,1753445425.948607
665.0,Toyota,Highlander,2022,Дашогуз,1753441825.948607
780.0,Toyota,Camry,2024,Ашхабад,1753333825.948607
1170.0,Toyota,Land,2025,Ашхабад,1753333825.948607
721.0,Toyota,Avalon,2022,Ашхабад,1753333825.948607
477.0,Lexus,RX,2017,Ашхабад,1753333825.948607
1395.0,Toyota,Land,2022,Ашхабад,1753438225.948607
1400.0,BMW,X5,2024,Ашхабад,1753438225.948607
276.0,Genesis,G70,2020,Ашхабад,1753420225.948607
339.0,Toyota,Camry,2022,Ашхабад,1753434625.948607
130.0,Toyota,Corolla,2008,Балканабат,1753506625.948607
87.0,Infiniti,QX4,2001,Ашхабад,1753506625.948607
210.0,Hyundai,Sonata,2018,Ашхабад,1753506625.948607
162.0,Toyota,Corolla,2010,Ашхабад,1753506625.948607
59.0,Toyota,Camry,1995,Мары,1753506625.948607
793.8,Toyota,Camry,2025,Ашхабад,1753506625.948607
500.0,Toyota,Highlander,2020,Мары,1753506625.948607
150.0,Kamaz,5511,1990,Мары,1753506625.948607
278.0,Toyota,Avalon,2013,Ашхабад,1753506625.948607
155.0,Hyundai,Sonata,2010,Ашхабад,1753506625.948607
13.0,Lada,2107,2000,Гурбансолтан Едже,1753506625.948607
540.0,Toyota,Highlander,2018,Ашхабад,1753506625.948607
205.0,Toyota,Camry,2012,Ашхабад,1753506625.948607
59.0,Toyota,Camry,1992,Мары,1753506625.948607
15.0,Fekon,FK150-8G,2017,Бабадайхан,1753506625.948607
27.0,Fekon,FK200-14G,2024,Керки,1753506625.948607
80.0,Daewoo,Lacetti,2007,Ашхабад,1753506625.948607
50.0,Opel,Vectra,1991,Туркменабат,1753506625.948607
45.0,BMW,E34,1996,Анев,1753506625.948607
180.0,Toyota,Camry,2011,Гёкдепе,1753506625.948607
120.0,Toyota,Avalon,1996,Туркменгала,1753506625.948607
150.0,Toyota,Camry,2004,Дашогуз,1753506625.948607
65.0,Infiniti,QX4,1999,Балканабат,1753506625.948607
480.0,Toyota,Highlander,2021,Мары,1753506625.948607
18.0,Opel,Vectra,1991,Чарджоу,1753506625.948607
6.0,Fekon,FK150-8G,2002,Джебел,1753506625.948607
50.0,Toyota,Corona,1993,Мары,1753506625.948607
290.0,Audi,A8,2012,Ашхабад,1753506625.948607
45.0,Toyota,Mark,1994,Мары,1753506625.948607
150.0,Lexus,ES,2002,Гороглы (Тагта),1753506625.948607
5.0,Fekon,FK150-8G,2015,Гызыларбат,1753506625.948607
35.0,Opel,Vectra,1993,Туркменабат,1753506625.948607
38.0,Toyota,Mark,1992,Сакарчага,1753506625.948607
12.5,Daewoo,Tico,1995,Шабатский этрап,1753506625.948607
560.0,BMW,330,2020,Ашхабад,1753506625.948607
250.0,BMW,5,2010,Ашхабад,1753506625.948607
245.0,Toyota,Camry,2011,Дашогуз,1753506625.948607
172.0,Toyota,Corolla,2012,Ашхабад,1753506625.948607
460.0,Toyota,Tacoma,2021,Туркменабат,1753506625.948607
279.0,Toyota,Corolla,2014,Ашхабад,1753506625.948607
150.0,Zil,4331,1992,Шабатский этрап,1753506625.948607
145.0,Nissan,Tiida,2006,Ашхабад,1753506625.948607
239.0,Toyota,Camry,2013,Ашхабад,1753506625.948607
22.0,Daewoo,Leganza,1997,Мары,1753506625.948607
200.0,Toyota,Highlander,2007,Кёнеургенч,1753506625.948607
60.0,Toyota,Corona,1993,етр. Туркменбаши,1753506625.948607
340.0,Kia,Sorento,2020,Ашхабад,1753506625.948607
95.0,Nissan,Urvan,1997,Дянев,1753506625.948607
2692.0,BMW,X6,2025,Ашхабад,1753506625.948607
230.0,Lexus,RX,2004,Туркменабат,1753506625.948607
61.0,Toyota,Hiace,2005,Ашхабад,1753506625.948607
150.0,Chrysler,300C,2007,Ашхабад,1753506625.948607
32.0,Opel,Vectra,1993,Дашогуз,1753506625.948607
1615.0,Toyota,Land,2024,Ашхабад,1753506625.948607
1103.0,Toyota,Land,2023,Ашхабад,1753506625.948607
748.0,Toyota,Sienna,2021,Ашхабад,1753506625.948607
18.6,Fekon,FK200-14G,2025,Бабадайхан,1753506625.948607
531.0,Mitsubishi,L200,2024,Ашхабад,1753506625.948607
300.0,Toyota,Camry,2022,Ашхабад,1753506625.948607
1081.0,Hyundai,Palisade,2024,Ашхабад,1753506625.948607
20.0,Lada,2107,1998,Губадаг,1753506625.948607
471.0,Toyota,Avalon,2019,Ашхабад,1753506625.948607
600.0,Toyota,Sienna,2018,Ашхабад,1753506625.948607
786.0,Toyota,Sienna,2020,Ашхабад,1753506625.950478
87.0,Toyota,Mark,1997,Мары,1753506625.950478
1475.0,Toyota,Sienna,2025,Ашхабад,1753506625.950478
25.0,Daewoo,Matiz,2000,Дашогуз,1753506625.950478
651.0,Toyota,Highlander,2021,Ашхабад,1753506625.950478
140.0,Mitsubishi,Canter,2005,Сакарчага,1753506625.950478
746.0,Toyota,Sienna,2021,Ашхабад,1753506625.950478
420.0,Toyota,Sienna,2019,Ашхабад,1753506625.950478
335.0,Ford,Transit,2017,Ашхабад,1753506625.950478
300.0,Toyota,Corolla,2020,Туркменабат,1753506625.950478
256.0,Chevrolet,Monza,2023,Ашхабад,1753506625.950478
170.0,Toyota,Camry,2003,Бабадайхан,1753506625.950478
1211.0,Lexus,ES,2024,Ашхабад,1753506625.950478
2.4,Fekon,FK150-8G,1983,етр. Туркменбаши,1753506625.950478
1552.0,Toyota,Land,2024,Ашхабад,1753506625.950478
7.0,Opel,Omega,1996,Дашогуз,1753506625.950478
611.0,Toyota,Land,2014,Ашхабад,1753506625.950478
30.0,Lada,2106,1986,Мары,1753506625.950478
53.0,Opel,Vectra,1997,етр. Туркменбаши,1753506625.950478
295.0,Lexus,IS,2014,Ашхабад,1753506625.950478
338.0,Lexus,RX,2010,Ашхабад,1753506625.950478
620.0,Lexus,ES,2019,Ашхабад,1753506625.950478
237.0,Toyota,Camry,2013,Ашхабад,1753506625.950478
88.0,Opel,Astra,2001,Мары,1753506625.950478
475.0,Ford,Explorer,2021,Ашхабад,1753506625.950478
120.0,Toyota,Avalon,1998,Мары,1753506625.950478
687.0,Toyota,Avalon,2021,Ашхабад,1753506625.950478
130.0,Toyota,Corolla,2010,Мары,1753506625.950478
589.0,Toyota,Sienna,2017,Ашхабад,1753506625.950478
253.0,Toyota,Corolla,2020,Ашхабад,1753506625.950478
451.0,Toyota,Corolla,2024,Ашхабад,1753506625.950478
59.0,Opel,Vectra,1999,Дашогуз,1753506625.950478
531.0,Ford,Explorer,2019,Ашхабад,1753506625.950478
45.0,Toyota,Mark,1993,Мары,1753506625.950478
648.0,Ford,Expedition,2020,Ашхабад,1753506625.950478
60.0,Opel,Vectra,1999,Дашогуз,1753506625.950478
825.0,Toyota,Sienna,2021,Ашхабад,1753506625.950478
360.0,Lexus,RX,2015,Туркменабат,1753506625.950478
300.0,Mitsubishi,Pajero,2015,Ашхабад,1753506625.950478
2.4,Fekon,FK150-8G,1983,етр. Туркменбаши,1753506625.950478
30.0,Opel,Astra,1992,Мары,1753506625.950478
2700.0,Lexus,GX,2025,Ашхабад,1753481425.950478
78.0,Gaz,Gazel,1999,Туркменабат,1753506625.950478
219.0,Toyota,Camry,2007,Ашхабад,1753477825.950478
33.0,Lada,2106,1988,Байрамали,1753506625.950478
72.0,Daewoo,Nexia,2011,Анев,1753477825.950478
295.0,Toyota,Avalon,2017,Ашхабад,1753506625.950478
360.0,Hyundai,Sonata,2021,Ашхабад,1753477825.950478
56.0,Toyota,Corona,1995,Саят,1753506625.950478
280.0,Kia,Sorento,2020,Туркменбаши,1753506625.950478
360.0,Toyota,Corolla,2020,Ашхабад,1753477825.950478
229.0,Hyundai,Sonata,2017,Ашхабад,1753477825.950478
195.0,Nissan,Versa,2021,Туркменбаши,1753506625.950478
239.0,Toyota,Corolla,2016,Ашхабад,1753477825.950478
142.0,Nissan,Versa,2009,Ашхабад,1753506625.950478
230.0,Kia,Soul,2021,Ашхабад,1753470625.950478
195.0,Toyota,Corolla,2016,Ашхабад,1753506625.950478
580.0,Lexus,ES,2019,Ашхабад,1753470625.950478
148.0,Toyota,Camry,2008,Теджен,1753506625.950478
410.0,Toyota,Camry,2018,Ашхабад,1753470625.950478
220.0,Toyota,Camry,2012,Ашхабад,1753506625.950478
549.0,Toyota,Camry,2021,Ашхабад,1753470625.950478
480.0,Toyota,Highlander,2023,Дашогуз,1753506625.950478
599.0,BMW,X6,2017,Ашхабад,1753470625.950478
589.0,Toyota,Sienna,2021,Ашхабад,1753470625.950478
38.0,Kia,Credos/Clarus,2000,Балканабат,1753506625.950478
365.0,Toyota,Sienna,2017,Ашхабад,1753467025.950478
45.0,Mazda,323,1994,Анев,1753506625.950478
265.0,Toyota,Camry,2013,Ашхабад,1753467025.950478
190.0,Nissan,Altima,2019,Керки,1753506625.950478
320.0,Toyota,Highlander,2011,Туркменабат,1753467025.950478
30.0,Opel,Vectra,1992,Чарджоу,1753506625.950478
646.0,Lexus,RX,2022,Туркменабат,1753467025.950478
130.0,Toyota,Camry,1999,Туркменбаши,1753506625.950478
270.0,Toyota,Camry,2017,Ашхабад,1753467025.950478
12.0,Lada,2106,1986,Бабадайхан,1753506625.950478
195.0,Nissan,Maxima,2017,Ашхабад,1753463425.950478
1477.0,BMW,740,2020,Ашхабад,1753467025.950478
225.0,Toyota,Sienna,2005,Ашхабад,1753506625.950478
375.0,Hyundai,Grandeur,2019,Ашхабад,1753467025.950478
111.0,Toyota,Corolla,2005,Ашхабад,1753506625.950478
485.0,Toyota,Camry,2020,Ашхабад,1753463425.950478
230.0,Toyota,Camry,2012,Туркменабат,1753463425.950478
250.0,Lexus,ES,2011,Бахарден,1753506625.950478
230.0,Hyundai,Genesis,2013,Ашхабад,1753463425.950478
175.0,Toyota,Corolla,2012,Ашхабад,1753506625.950478
490.0,Toyota,Camry,2020,Ашхабад,1753463425.950478
75.0,Opel,Astra,2001,Дашогуз,1753506625.950478
440.0,Toyota,Camry,2018,Ашхабад,1753333825.950478
308.0,Toyota,Camry,2019,Ашхабад,1753506625.950478
225.0,Toyota,Corolla,2016,Ашхабад,1753463425.950478
10.0,Lada,2101,1982,Мары,1753506625.950478
490.0,Hyundai,Sonata,2021,Ашхабад,1753463425.950478
27.0,Lada,2106,2000,Гызыларбат,1753506625.950478
1038.0,Genesis,GV80,2022,Ашхабад,1753463425.950478
550.0,Genesis,G80,2020,Мары,1753506625.950478
165.0,Toyota,Yaris,2014,Ашхабад,1753459825.950478
62.0,Toyota,Camry,1992,Туркменабат,1753506625.950478
77.0,Opel,Astra,2003,Ашхабад,1753459825.950478
35.0,Opel,Astra,1995,Дашогуз,1753506625.950478
615.0,Genesis,G80,2021,Ашхабад,1753463425.950478
180.0,Toyota,Avalon,2003,Гороглы (Тагта),1753506625.950478
360.0,Isuzu,Elf,2012,Ашхабад,1753459825.950478
120.0,BMW,E60,2006,Ашхабад,1753506625.950478
100.0,Nissan,Navara,2007,Гороглы (Тагта),1753506625.950478
838.0,Toyota,Camry,2025,Ашхабад,1753459825.950478
100.0,Toyota,Sienna,1999,Мары,1753506625.950478
166.0,Toyota,Corolla,2012,Ашхабад,1753459825.950478
440.0,Mitsubishi,Canter,2010,Яшлык,1753506625.950478
299.0,Kia,Sorento,2020,Ашхабад,1753459825.950478
18.0,Fekon,FK200-14G,2025,Балканабат,1753506625.950478
520.0,Toyota,Highlander,2021,Ашхабад,1753459825.950478
7.5,Iž,Planeta,1995,Мургап,1753506625.950478
400.0,Toyota,Highlander,2018,Акдепе,1753506625.950478
330.0,Nissan,Pathfinder,2021,Ашхабад,1753459825.950478
320.0,Toyota,Camry,2020,Ашхабад,1753459825.950478
150.0,Toyota,Camry,2008,Байрамали,1753506625.950478
256.0,Kia,Seltos,2021,Ашхабад,1753456225.950478
410.0,Toyota,Hilux,2012,Сейди,1753506625.950478
82.0,Mazda,3,2011,Гёкдепе,1753506625.950478
420.0,Honda,Pilot,2020,Ашхабад,1753456225.950478
17.0,Fekon,FK200-14G,2024,Мары,1753506625.950478
499.0,Ford,Explorer,2020,Ашхабад,1753456225.950478
220.0,Volkswagen,Amarok,2013,Ашхабад,1753506625.950478
336.0,Toyota,Camry,2019,Ашхабад,1753456225.950478
200.0,Toyota,Venza,2010,Мары,1753506625.950478
1098.0,BMW,X5,2019,Ашхабад,1753459825.950478
28.0,Daewoo,Matiz,2004,Шабатский этрап,1753506625.950478
310.0,Toyota,Camry,2022,Ашхабад,1753456225.950478
179.0,Honda,Accord,2011,Ашхабад,1753506625.950478
1599.0,BMW,X6,2023,Ашхабад,1753456225.950478
190.0,Ford,Transit,2011,Ашхабад,1753506625.950478
1666.0,BMW,X6,2024,Ашхабад,1753456225.950478
440.0,Toyota,Highlander,2018,Ашхабад,1753506625.950478
745.0,Toyota,Highlander,2024,Ашхабад,1753456225.950478
110.0,Toyota,Camry,1997,Теджен,1753506625.950478
678.0,Toyota,Camry,2023,Ашхабад,1753456225.950478
140.0,Mitsubishi,Canter,2005,Сакарчага,1753506625.950478
882.0,BMW,340,2024,Ашхабад,1753456225.950478
125.0,Chrysler,200,2012,Ашхабад,1753506625.950478
744.0,BMW,540,2017,Ашхабад,1753456225.950478
28.0,Opel,Vita,1995,Анев,1753506625.950478
630.0,Mercedes-Benz,ML350,2014,Ашхабад,1753456225.950478
78.0,Zil,4331,1996,Ходжамбаз,1753506625.950478
226.0,Hyundai,Elantra,2022,Ашхабад,1753456225.950478
32.0,Opel,Vectra,1992,Шабатский этрап,1753506625.950478
735.0,Toyota,Camry,2024,Ашхабад,1753456225.950478
73.0,Toyota,Camry,1993,Анев,1753506625.950478
786.0,Kia,Sorento,2022,Ашхабад,1753456225.950478
270.0,Toyota,Camry,2014,Ашхабад,1753506625.950478
2554.0,BMW,X5,2024,Ашхабад,1753456225.950478
48.0,Opel,Vectra,1998,Дашогуз,1753506625.950478
595.0,Toyota,Camry,2021,Ашхабад,1753456225.950478
125.0,Toyota,Camry,2001,Серахс,1753506625.950478
500.0,Toyota,Camry,2020,Ашхабад,1753456225.950478
35.0,Toyota,Mark,1994,Гурбансолтан Едже,1753506625.950478
475.0,Lexus,ES,2019,Ашхабад,1753456225.950478
5.0,Fekon,FK150-8G,2002,Достлук,1753506625.950478
630.0,Toyota,Camry,2023,Ашхабад,1753456225.950478
30.0,Lada,2107,1998,Теджен,1753506625.950478
415.0,Toyota,Avalon,2017,Ашхабад,1753456225.950478
200.0,Toyota,Camry,2013,Ашхабад,1753506625.950478
580.0,BMW,X6,2017,Ашхабад,1753456225.950478
75.0,Gaz,53,1990,Туркменабат,1753506625.950478
539.0,Genesis,G80,2022,Ашхабад,1753456225.950478
590.0,Toyota,Tacoma,2024,Туркменбаши,1753456225.950478
265.0,Kia,Stinger,2017,Ашхабад,1753456225.950478
280.0,Kia,K5,2021,Ашхабад,1753506625.950478
365.0,Toyota,Sienna,2017,Ашхабад,1753452625.950478
77.0,Toyota,Camry,1996,Теджен,1753506625.950478
519.0,Lexus,ES,2019,Ашхабад,1753452625.950478
50.0,Opel,Astra,1995,Кёнеургенч,1753506625.950478
739.0,Lexus,ES,2019,Ашхабад,1753452625.950478
350.0,Kia,Sedona,2020,Туркменабат,1753506625.950478
450.0,Kia,Sorento,2021,Ашхабад,1753452625.950478
22.0,UAZ,469,1997,Ак-Бугдайский этрап,1753506625.950478
175.0,Toyota,Camry,2006,Балканабат,1753452625.950478
68.0,Toyota,Hiace,1993,Мары,1753506625.950478
480.0,Lexus,RX,2022,Ашхабад,1753452625.950478
100.0,Nissan,Versa,2011,Мары,1753506625.950478
230.0,Toyota,Camry,2013,Мары,1753449025.950478
70.0,Opel,Astra,1999,Чарджоу,1753506625.950478
220.0,Ford,Taurus,2016,Ашхабад,1753506625.950478
230.0,Toyota,Camry,2013,Мары,1753449025.950478
31.0,Opel,Vectra,1989,Кака,1753506625.950478
239.0,Toyota,Aurion,2008,Ашхабад,1753449025.950478
450.0,Toyota,Tacoma,2017,Ашхабад,1753506625.950478
995.0,BMW,X5,2019,Ашхабад,1753449025.950478
250.0,Toyota,Venza,2010,Ашхабад,1753449025.950478
45.0,Toyota,Hilux,1992,Шабатский этрап,1753506625.950478
530.0,Hyundai,Santa,2022,Ашхабад,1753449025.950478
60.0,Opel,Vectra,1995,Туркменабат,1753506625.950478
450.0,Toyota,Highlander,2018,Балканабат,1753506625.950478
2751.0,BMW,550,2025,Ашхабад,1753449025.950478
24.0,Opel,Vectra,1990,Мары,1753506625.950478
250.0,Toyota,Camry,2017,Ашхабад,1753449025.950478
300.0,Hyundai,Santa,2017,Ашхабад,1753506625.950478
687.0,Toyota,Camry,2025,Ашхабад,1753445425.950478
260.0,Toyota,Corolla,2020,Ашхабад,1753506625.950478
20.0,Lada,2106,1997,Гороглы (Тагта),1753506625.950478
825.0,Lexus,RX,2023,Ашхабад,1753445425.950478
268.0,Hyundai,Elantra,2020,Ашхабад,1753445425.950478
24.0,Opel,Vectra,1990,Чарджоу,1753506625.950478
210.0,Hyundai,Sonata,2019,Ашхабад,1753506625.950478
435.0,Kia,Sorento,2021,Ашхабад,1753445425.950478
335.0,Toyota,Camry,2020,Ашхабад,1753445425.950478
660.0,Toyota,Sienna,2022,Ашхабад,1753506625.950478
610.0,Lexus,ES,2020,Ашхабад,1753506625.950478
334.0,Ford,Explorer,2016,Ашхабад,1753445425.950478
32.0,Opel,Vectra,1990,Гороглы (Тагта),1753506625.950478
535.0,Lexus,ES,2020,Ашхабад,1753452625.950478
250.0,Toyota,Camry,2014,Ашхабад,1753445425.950478
205.0,Toyota,Camry,2013,Ашхабад,1753506625.950478
2751.0,BMW,X6,2025,Ашхабад,1753445425.950478
136.0,Opel,Antara,2009,Гёкдепе,1753506625.950478
230.0,Toyota,Camry,2014,Теджен,1753445425.950478
335.0,Toyota,Camry,2020,Ашхабад,1753445425.950478
655.0,Toyota,Land,2016,Ашхабад,1753506625.950478
630.0,Toyota,Highlander,2020,Мары,1753445425.950478
153.555,Toyota,Corolla,2010,Ашхабад,1753506625.950478
637.0,Toyota,Highlander,2022,Мары,1753445425.950478
431.2,Lexus,RX,2017,Ашхабад,1753445425.950478
438.0,Toyota,Sienna,2020,Ашхабад,1753445425.950478
170.0,Toyota,Camry,2007,Мары,1753506625.950478
440.0,Toyota,Sienna,2017,Ашхабад,1753445425.950478
287.0,Toyota,Camry,2021,Ашхабад,1753506625.950478
210.0,Toyota,Corolla,2018,Ашхабад,1753445425.950478
22.0,Lada,2106,1990,Кёнеургенч,1753506625.950478
165.0,Mercedes-Benz,C350,2010,Ашхабад,1753445425.950478
40.0,Toyota,Corona,1992,етр. Туркменбаши,1753506625.950478
680.0,Toyota,Highlander,2021,Ашхабад,1753441825.950478
50.0,Opel,Astra,1997,Туркменбаши,1753506625.950478
160.0,Nissan,Pathfinder,2013,Ашхабад,1753441825.950478
165.0,Toyota,Camry,2000,Туркменабат,1753506625.950478
700.0,Toyota,Highlander,2022,Ашхабад,1753441825.950478
170.0,Toyota,Corolla,2013,Ак-Бугдайский этрап,1753506625.950478
700.0,Lexus,ES,2020,Ашхабад,1753441825.950478
13.0,Fekon,FK200-14G,2016,Теджен,1753506625.950478
277.0,Kia,Sedona,2020,Ашхабад,1753441825.950478
285.0,Mitsubishi,Pajero,2014,Ашхабад,1753506625.950478
700.0,Toyota,Sienna,2021,Мары,1753441825.950478
158.0,Toyota,Corolla,2011,Ашхабад,1753506625.950478
700.0,Toyota,Highlander,2019,Ашхабад,1753441825.950478
170.0,Toyota,Camry,2010,Туркменабат,1753506625.950478
314.0,Hyundai,Santa,2014,Ашхабад,1753441825.950478
18.0,Lada,2104,1996,Гарабекевюл,1753506625.950478
162.0,Toyota,Corolla,2013,Ашхабад,1753506625.950478
400.0,Toyota,Camry,2020,Мары,1753441825.950478
259.5,Hyundai,Sonata,2021,Ашхабад,1753441825.950478
145.0,Toyota,Camry,2000,Болдумсаз,1753506625.950478
380.0,Toyota,Sienna,2018,Ашхабад,1753441825.950478
170.0,Hyundai,Accent,2018,Ашхабад,1753506625.950478
142.0,Nissan,X-Trail,2008,Ашхабад,1753438225.950478
12.0,Lada,2104,1982,Кака,1753506625.950478
115.0,Toyota,Camry,1999,Серхетабат (Кушка),1753438225.950478
22.0,Opel,Vectra,1991,Чарджоу,1753506625.950478
598.0,Toyota,Highlander,2021,Ашхабад,1753438225.950478
140.0,Toyota,Camry,2003,Мургап,1753506625.950478
380.0,Geely,Emgrand,2025,Ашхабад,1753438225.950478
130.0,Forland,H2,2014,Мары,1753506625.950478
345.0,Geely,Emgrand,2025,Ашхабад,1753438225.950478
400.0,Toyota,Highlander,2016,Гызыларбат,1753506625.950478
345.0,Toyota,Camry,2023,Ашхабад,1753438225.950478
52.0,Opel,Vectra,1996,Туркменбаши,1753506625.950478
500.0,Toyota,Avalon,2023,Ашхабад,1753438225.950478
150.0,Mercedes-Benz,E320,2004,Анев,1753506625.950478
138.0,Toyota,Corolla,2009,Ашхабад,1753438225.950478
20.0,Opel,Vectra,1991,Байрамали,1753506625.950478
280.0,Toyota,Corolla,2021,Ашхабад,1753506625.950478
429.0,Toyota,Highlander,2019,Ашхабад,1753438225.950478
123.0,Toyota,Camry,1999,Кёнеургенч,1753506625.950478
320.0,Mitsubishi,ASX,2024,Ашхабад,1753438225.950478
25.0,Fekon,FK150-8G,2022,Тагтабазар,1753506625.950478
288.888,Toyota,Corolla,2021,Ашхабад,1753445425.950478
115.0,Toyota,Camry,2000,Гызыларбат,1753506625.950478
565.0,Mitsubishi,Montero,2024,Ашхабад,1753438225.950478
76.0,Toyota,Avensis,2002,Сакарчага,1753506625.950478
565.0,Lexus,ES,2019,Ашхабад,1753434625.950478
7.5,Fekon,FK150-8G,2002,Бахарден,1753506625.950478
470.0,Toyota,Sienna,2018,Ашхабад,1753434625.950478
190.0,Toyota,Camry,2002,Мары,1753506625.950478
235.0,Hyundai,Elantra,2020,Ашхабад,1753434625.950478
29.0,Opel,Vectra,1992,Гёкдепе,1753506625.950478
128.0,Toyota,Corolla,2009,Ашхабад,1753434625.950478
95.0,Toyota,Corolla,2005,Мары,1753506625.950478
420.0,Toyota,Sienna,2018,Ашхабад,1753438225.950478
132.0,Toyota,Camry,2008,Мургап,1753506625.950478
264.0,Hyundai,Sonata,2021,Ашхабад,1753434625.950478
180.0,Nissan,Urvan,2005,Ашхабад,1753506625.950478
108.0,Toyota,Corolla,2003,Бахарден,1753434625.950478
80.0,Lada,2107,2011,Мары,1753506625.950478
405.0,Toyota,Avalon,2016,Ашхабад,1753438225.950478
375.0,Nissan,Urvan,2022,Ашхабад,1753506625.950478
450.0,Lexus,ES,2018,Балканабат,1753434625.950478
975.0,Toyota,Land,2008,Ашхабад,1753506625.950478
435.0,Genesis,G90,2017,Ашхабад,1753431025.950478
240.0,Hyundai,Sonata,2019,Ашхабад,1753506625.950478
250.0,BMW,GT,2012,Ашхабад,1753431025.950478
570.0,Lexus,IS,2021,Ашхабад,1753506625.950478
1000.0,Genesis,GV70,2022,Ашхабад,1753431025.950478
20.0,Opel,Vectra,1992,Мары,1753506625.950478
277.0,Toyota,Corolla,2025,Ашхабад,1753431025.950478
748.0,Toyota,Crown,2024,Ашхабад,1753506625.950478
239.0,Hyundai,Sonata,2021,Ашхабад,1753431025.950478
158.0,Toyota,Camry,2002,Губадаг,1753506625.950478
140.0,Nissan,JUKE,2013,Ашхабад,1753431025.950478
26.0,Lada,21099,2003,Керки,1753506625.950478
205.0,Hyundai,Sonata,2017,Ашхабад,1753431025.950478
200.0,Toyota,Avalon,2004,Туркменабат,1753506625.950478
215.0,Nissan,Versa,2023,Ашхабад,1753431025.950478
14.0,Lada,2101,1980,Фарап,1753506625.950478
1132.0,Toyota,Land,2025,Ашхабад,1753431025.950478
260.0,Toyota,Camry,2019,Ашхабад,1753431025.950478
44.0,Opel,Vectra,1992,Мургап,1753506625.950478
615.0,Toyota,Highlander,2022,Ашхабад,1753427425.950478
22.0,Lada,2106,1998,Керки,1753506625.950478
624.0,Toyota,Highlander,2021,Ашхабад,1753427425.950478
30.0,Lada,21099,2003,Гызыларбат,1753506625.950478
335.0,Toyota,Camry,2021,Ашхабад,1753427425.950478
31.0,Fekon,FK200-14G,2025,Мары,1753506625.950478
580.0,Toyota,Highlander,2021,Ашхабад,1753427425.950478
220.0,Toyota,Camry,2010,Туркменбаши,1753506625.950478
450.0,Ford,F150,2022,Ашхабад,1753427425.950478
400.0,Toyota,Sienna,2017,Мары,1753506625.950478
23.0,Daewoo,Matiz,1999,Дашогуз,1753506625.950478
260.0,Toyota,Camry,2022,Мары,1753427425.950478
700.0,Toyota,Highlander,2022,Ашхабад,1753427425.950478
120.0,Chrysler,300C,2005,Ашхабад,1753506625.950478
2000.0,Lexus,LX,2022,Ашхабад,1753427425.950478
195.0,Hyundai,IX35,2013,Ашхабад,1753506625.950478
240.0,Toyota,Corolla,2018,Ашхабад,1753427425.950478
540.0,Mitsubishi,Montero,2023,Ашхабад,1753427425.950478
